,Emotion,Sentence
9,Fear,trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞
1861,Enjoyment,sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa
398,Other,đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi
48,Other,ướp đông lạnh luôn à
183,Fear,chờ tý tao đi thay bỉm xíu tao quay lại .
148,Other,có hiệu quả không mới quan trọng
1465,Disgust,sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .
688,Enjoyment,anh chờ ... đáng yêu ghê
775,Disgust,cười như cục cức trôi sông lạc chợ 😏😏👌
1205,Sadness,tao buồn mấy năm nay rồi
233,Enjoyment,phải đối xử tốt với chính bản thân mình :)
861,Sadness,"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ"
586,Anger,"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?"
1558,Enjoyment,tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁
782,Other,động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :)
743,Sadness,mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh
1835,Surprise,sản phẩm khá là mới lạ trong việt nam
334,Enjoyment,"chuẩn rồi . nhiều khi mệt muốn xỉu , xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại 😂😂😂 đồng nghiệp quan trọng thật sự"
570,Other,ai trèo lên đưa cho ảnh cái áo mưa đi kẻo ướt ảnh đó
323,Fear,"per hồi nhỏ bị con đỉ này dí lòi lol 😂, bị cắn bầm đen muốn thúi thịt luôn cả tháng hơn mới hết . mà đươ ̣ c cái con này nuôi nó giữ nhà cửa hay , có nó không sợ ma quỷ gì hết"
950,Disgust,chắc ổng chỉ ngồi 1 chỗ và để móng lên bàn nv . chư tao nghĩ đi lại cũng khó
11,Enjoyment,nó mới ghé nhà tao đây :))
1750,Enjoyment,nhìn mặt là cười phọt rồi
572,Other,per cấm dừng đỗ đâu cụ thớt ???
537,Sadness,đọc chả hiểu gì :( mất gốc rồi :(
355,Other,mạng lag chưa xem được nhưng vẫn vào bình luận 😍😍
1672,Enjoyment,"em vợ có thể ngủ với mẹ , còn anh thì ngủ với em 😂"
916,Enjoyment,cái giọng anh quay phim nghe ngọt quá 😘😘
376,Enjoyment,đẹp đôi vãi 🤩
456,Anger,như con ma tơi có ngày ném cho cái cốc vào mặt thì đừng trách
725,Other,"ổng để móng có 1 bàn tay thôi còn bàn tay kia vẫn sạch sẽ bình thường mà các cụ cứ hỏi chùi đít , đanh răng , quay tay kiểu gì là sao :))"
1473,Disgust,chỉ thấy mất dạy
1378,Disgust,vì nó biết mày còn 2 quả thận thôi con ạ . rửa mặt đi :vậy
930,Sadness,tiền cắt tóc như kia đủ mua giày rồi :v
1121,Other,"trên phim thôi . ngoài đời thì đứa con gái uống xong ngất luôn , hôm sau thì bị bán mẹ sang trung quốc"
1904,Disgust,đấy cổ tích như thế có mà dân lại ngồi hết lên đầu pháp luật . tai nạn tăng không ngừng nghỉ ấy chứ .
370,Disgust,"nếu không có lòng yêu thương , thì đừng nuôi"
895,Disgust,định mệnh gớm vãi 🤮🤮🤮
573,Other,kiểu xem đứa nào thắng !
1031,Enjoyment,"èo , ngọt quá đi"
1344,Disgust,lấy vợ xong bị tàn phá là có thật 😆 béo vãi_chưởng
915,Disgust,nếu người ta sai thì gọi công an xử lý còn không thì bạn không có quyền nhé
118,Fear,t thề hồi nhỏ qua nhà ông hàng xóm vá xe tao bị con ngỗng dí chạy xúc quần quanh nhà ổng vừa chạy vừa la làng tới giờ nhớ lại vẫn còn hãi 😧😧😧
446,Anger,nó bướng vãi . cứ làm theo ý mình
633,Disgust,nghe như hát trầu văn
529,Other,đúng rồi mà kệ nó tao đéo quan tâm . chụp cho ai thì chụp
1731,Enjoyment,nhà có người già vui thật nhỉ 🤣👍
255,Other,tao nấu củi chưa nấu bằng rơm bao giờ 😪
793,Other,bếp dầu trước kia tôi đã thuờg dùng
168,Other,ngọc ngọc đồng nghiệp tốt
859,Disgust,đời tao ghét con súc sinh này vãi .. nhiều khi tao tự vấn tao làm gì sai mà mỗi lần tao đi qua nó là y như rằng tao phải chạy như chó chứ không thể nào hiên ngang đi 1 cách như người bình thường
726,Anger,"ờ phải rồi , nói hay lắm . đến lúc nó đậu trước cửa nhà mình cả ngày xem có nhảy lên như khỉ đỏ đít không ?"
668,Other,tạm biệt sếp và mong sớm có ngày sếp quay lại ...
1442,Sadness,tao dễ thương nhưng vẫn ế đây này mơ mộng ít thôi
455,Enjoyment,"má , dume cười ỉa :))))"
413,Anger,bà mẹ tháng cô hồn nghèo rớt mồng tơi mà cứ chiếu phim tiền đâu mà coi trời oi là troi
1812,Surprise,cái này nó giống câu “ em ăn cơm chưa ” vãi
523,Other,bị rồi nè :))) mua 6 ly rớt hết 4 ly
1101,Disgust,"đây là 1 câu chuyện buồn đó , đừng có haha nha per"
483,Other,chảy cả nói chuyện mắt
1833,Anger,là tôi tôi cũng tát vỡ mồm nó ~~
1190,Sadness,per ngôn tình luôn ở quanh ta nhưng nó đéo đến với chúng ta 😏
312,Enjoyment,rồi lỡ ai có bầu mà đi qua không biết nhảy kiểu gì nữa 😂😂
1396,Enjoyment,nghe mát lòng mát gan thế ????
990,Other,tao đang xem cái gì vậy
379,Fear,sợ đến lúc đó muốn lấy vợ phải sang nước khác nhập khẩu về quá
634,Sadness,nhiều khi cũng muốn chọc cho người yêu giận nhưng mới nhớ ra mình đéo có người yêu 😌
219,Fear,nguy hiểm thật
132,Enjoyment,"ok hay quá , dùng điện này thôi"
26,Enjoyment,ơ tao đang mơ 🤩
823,Disgust,chủ tịch rả vờ ngu và cái kết đừng bao rờ khinh thường người khác 😂😂
564,Enjoyment,"per ăn tết xong , cần cây cầu này để giảm cân 😆😆"
246,Disgust,loại dâm ô nam sinh này cần phải tử hình để làm gương cho người khác .
718,Sadness,:))) 1 phần của bài quyền là phải gẫy gậy và té sấp mặt luôn để đỡ bị đối phương đâm lòi phèo
1049,Other,chắc chắn người pháp sẽ khôi phục lại được . tin là như thế
1303,Disgust,per á đông có đồng nghiệp như hiệp suốt ngày rủ đi vệ sinh cùng ghê vãi
503,Enjoyment,đm nhìn ngầu vãi
760,Enjoyment,chuẩn luôn khi ở công tình yêu toàn là các anh chị em đồng nghiệp tốt he he
542,Other,với tôi là gia đình và sự hận thù .
435,Disgust,người ta gọi là ngu mà cứ đâm đầu vào đấy :)
822,Other,tỉnh táo đi em !
301,Other,bếp dầu thời bao cấp
1745,Surprise,có cái bệnh này nữa hả trời
183,Disgust,agribank thu nhập bằng phong phì thì bố thằng nào biết được mà cập nhật
802,Other,crush ai thì cờ rớt chứ đừng cờ rớt mấy mẹ bán hàng online với làm bất động sản chúng mày nhé :3
201,Fear,nhà tao cũng gần mà tao không bao giờ dám đi đêm
598,Sadness,kiểu gì chả chết ? đá to như kia thoát sao nổi ?
1286,Sadness,không muốn huhu
454,Enjoyment,ông trời cho mình lũ bạn cờ hó quá ấy mà :)
1770,Enjoyment,dự định tao là 28 nhưng giờ mà có bồ là bắt cưới luôn chớ sợ ế haha
1751,Surprise,giỏi thiệt . nể . giọng ở tao khó z mà ông này nói được giỏi 😁
263,Disgust,chọn cây đẹp đẹp rồi để các bạn trẻ đổ xô đến vì hiếu kỳ lại gây tắc đường à dume
442,Sadness,biết là đau lòng nhưng sao bản thân vẫn muốn biết nó
569,Other,per mang võng ra không lại tủi không thể ngồi
1112,Disgust,đóng của trường đi bắt bỏ tù loai người xấu xa : ham lợi nhuận : lừa đảo phụ huynh lấy tiền
289,Other,như 1 canh bạc ấy nhỉ @@
891,Other,chợt nhận ra mình chưa từng thích thầm ai trong lớp
889,Other,cây này quê tao nhiều lắm nhé . mùa này đi rừng hay gặp nhiều này
275,Fear,dume mặc dù tao rất yêu chó nhưng tao cũng sợ chó nữa :((
1051,Sadness,"không biết khuyên thế nào , nhưng chỉ cần bình tĩnh 1 xíu , dù gì thì cũng đừng tự sát , đời người chỉ sống 1 lần thôi ..."
1858,Anger,tao bực mày lắm rồi đấy
1108,Sadness,crush tao mất rồi .
71,Disgust,cái thứ tình yêu bọ xít :))
93,Fear,"ngày xưa nhà nuôi mấy con điên này cái giọng thì đã khó nghe thì chớ suốt ngày ngoạc ra , hễ về đến nhà là thấy giọng bọn n đầu tiên . xong cho ăn , rõ ràng là cho n ăn đàng hoàng mà đến n + 1 lần bị n mổ với đuổi bợt mạng . chốt là tao ghét cái bọn nì dã man . ám ảnh cả 1 tuổi thơ :(( cái thứ yêu nghiệt ."
1849,Enjoyment,cặp này lầy mà dễ thương
1128,Disgust,per mặc dù biết ngôn tình tàu khựa toàn xạo chó nhưng cầu hôn có não thật ^^
1231,Anger,"đừng so nó với chó ., vì chó nhà tao cũng từng bị nó cắn rồi 🤧. nó đéo ' sợ bố con thằng nào cả ."
102,Disgust,địt mẹ mấy thằng nhà quê
1331,Disgust,vãi chả phơi hết tim gan phèo phổi @@
838,Disgust,cảnh thì dõ đẹp mà nhìn nước ô nhiễm quá
217,Other,thích nấu lúc nào cũng được
127,Anger,"mấy con đĩ xạo lồn tao thấy mà tao tức á , chia bè phái ra làm rầm rầm rộ rộ"
158,Enjoyment,cái chứng minh hình kia dễ vãi . cứ vẽ hình lên bài xong người chấm điểm người ta thấy là biết chứ sao :))
4,Enjoyment,đm quả gật đầu quả quyết vãi 😂
1859,Surprise,ho mà vỡ xương kể ra trên đời lắm chuyện lạ vãi
952,Sadness,bốc toàn trúng may mắn lần sau
1625,Disgust,nước tớ nhiều thành phần hãm lồn thế đấy các bạn ạ . tớ gặp là tớ còn ghét nữa là các bạn nước ngoài
580,Other,cẩn thận móc túi trộm nhé anh chị em .
320,Enjoyment,đoạn cuối yêu mún chết
538,Enjoyment,hahahaha
24,Enjoyment,cuộc đời bà đã nấu hơn 50 nồi bánh chưng rồi nhưng bà chưa bao giờ thấy ai cắt tóc ngắn đi mà xinh như thế này các cháu ạ .
1657,Other,"mày vã quá rồi đấy , sang lên chứ 🙄"
1303,Enjoyment,"e ấy đang khóc , nhưng vì hàm răng không thể thụt vào nên mọi người nghĩ là em đang cười :))))"
1480,Enjoyment,per ôi cái bếp một thời chinh chiến
585,Anger,vl mồm thì chửi người ta nhem nhẻm ra xong cứ bảo người ta mất dậy :)) chị kia đã chửi được câu đéo nào đâu mà nó cứ bảo mất dậy . đâm hỏng xe người ta xong còn đòi đọ lồn :))))) bố mày lậy . phải tao là tao sút cho tung con mẹ mày cái lồn già lên rồi cho mất dậy cả thể . cứ cậy đẻ 5 lứa rồi lồn rộng mép dài ra đường bắt nạt đứa lồn bé hơn
1432,Enjoyment,"trời mẹ phim gì vậy thớt ơi , cười ná thở"
1197,Enjoyment,nhưng công nhận nhìn ngáo cỏ yêu thật =))
1884,Disgust,ăn mà không biết dọn .
1499,Sadness,tao được thấy nói chuyện mắt của bố tao khi tao bệnh và khi tao lấy chồng
474,Anger,mày ăn cứt hay sao ngu thế hả
1563,Sadness,chia buồn với gã lưng gù 😥😢
1282,Sadness,tao đã từng viết như thế này . bây giờ không muốn ai đọc chỉ có đốt mà lười đốt
484,Sadness,tác phẩm nghệ thuật chất lượng cao hiếm hoi của điện ảnh việt nam nhưng không được công chúng quê nhà đón nhận
489,Sadness,thực ra em mới đang phải là sự lựa chọn chứ không phải là người được lựa chọn đâu 😌.
28,Fear,"per trong vòng 4 tháng chắc anh chụp hơn trăm tấm , huhu , sợ quá 😱😱😱😢😢😢"
913,Sadness,"tui ở tuy hòa , phú yên mà chả nhận ra luôn ."
902,Sadness,"có ai lần đầu bắn kéo ngược ra phía trước đạn bay vào mặt giống tao không , đau điếng"
1349,Enjoyment,cô gái này thật dễ thương “ anh cứ nhắm mắt làm đại một lần thôi mà “ 😂😂
239,Other,mới ra mà nắm bắt nhanh thế
1560,Enjoyment,"chị thích con gái mạnh mẽ , cá tính ."
508,Anger,tô ́ tao nhất là chết luôn đi ko chết sau này lại ngáo kéo theo người kha ́ c thì khổ .
1735,Disgust,cho bỏ cái ngu đậu xe ẩu tả .
578,Sadness,buôn bỏ nhưng tình cảm ko thuoc về mình nua . bat đầu kiem tiên
624,Enjoyment,"thanh diễm giờ tao hiểu tại sao cứ sáng vô là tao trông tới đi về , đầu tuần trông tới cuối tuần và đầu tháng trông tới cuối tháng rồi 🤣🤣🤣🤭"
1141,Enjoyment,người gì đâu mà dễ thương quá chờiiiii
1846,Disgust,nhìn mặt nó nhăn nhó khó chịu vãi
130,Other,nhưng sạn quá . ma mà sao lúc đầu có bóng của cánh tay vậy .???
216,Other,đừng tưởng nó nói yêu mày là yêu mày thật :)))
733,Disgust,vì những thành phần như bạn mà page cứ phải khoá bình luận cho trong sạch đấy . thật là giông bão 😌
1033,Disgust,thân gửi mấy má bán combo quà độn xốp với mấy cha có ý định tặng 😂😂
899,Other,t đi lộn lớp rồi
1802,Surprise,per la liếm cả ở trong này hả =))
1569,Sadness,chuẩn bị prayforparis thôi 23 tuần kể từ khi phe áo vàng làm loạn rồi mà vẫn chưa dẹp được .
930,Disgust,ở dơ vãi - _ -
1600,Sadness,sinh viên năm 3 rồi nhưng vẫn chưa định hướng ra trường làm cái giống gì đây :(
585,Other,cái máy nghe nhạc nè
1231,Enjoyment,ra xong bảo anh ý ship em về nhà luôn được không . xe em bị hỏng mất tiêu rồi =))
1958,Surprise,y tế chăm sóc sức khỏe lương nhiều vậy sao
828,Enjoyment,t đu ́ theo thôi :v tao biê ́ tao thư ̀ anh no ́ la ̀ shipper
725,Disgust,các bác bình luận ở đây cũng có khác gì họ đang ngồi chửi nhà nước không
764,Enjoyment,"con nghiệt súc này mỗi lần tao đi đá bóng là 2 vợ chồng nó dí theo cắn bầm hết chân , thứ này thù dai kinh khủng , chiều nào nó cũng khởi động cho tao trước khi đá bóng ... con mẹ nó giờ tao lớn rồi , tay nghề nấu nướng cũng không tệ gặp mà dí theo là xác định tao quay nó vàng ương luôn =]]"
473,Enjoyment,nấu kiểu này ngon lắm luôn 😋😋
487,Enjoyment,per thích quáaaaa
669,Other,mấy ai chứng minh được điều đó 😍
770,Sadness,thằng ben thật tội nghiệp
864,Enjoyment,yêu quá nè nè
445,Other,có ai như tao không . chả thích đi đền chùa vì nhiều lí do ??
129,Other,tiền bạc là phù du ... nhiêu đó cho luôn 😂😂😂😂😂
148,Enjoyment,mong anh có thể đạt được ước mơ của mình .... cố lên
1101,Enjoyment,ai muốn đi thái hè này với tôiii nào cũng chim ưng phết đấyy :)))
